Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
11/09/2023,AQS,300170005,1,15,ppb,14,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/10/2023,AQS,300170005,1,18,ppb,17,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/11/2023,AQS,300170005,1,12,ppb,11,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/12/2023,AQS,300170005,1,19,ppb,18,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/13/2023,AQS,300170005,1,18,ppb,17,Miles City - Pines Hills,22,92.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/14/2023,AQS,300170005,1,16,ppb,15,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/15/2023,AQS,300170005,1,16,ppb,15,Miles City - Pines Hills,19,79.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/16/2023,AQS,300170005,1,8,ppb,8,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/17/2023,AQS,300170005,1,23,ppb,22,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/18/2023,AQS,300170005,1,15,ppb,14,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/19/2023,AQS,300170005,1,15,ppb,14,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/20/2023,AQS,300170005,1,12,ppb,11,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/21/2023,AQS,300170005,1,12,ppb,11,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/22/2023,AQS,300170005,1,18,ppb,17,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/23/2023,AQS,300170005,1,2,ppb,2,Miles City - Pines Hills,22,92.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/24/2023,AQS,300170005,1,13,ppb,12,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/25/2023,AQS,300170005,1,13,ppb,12,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/26/2023,AQS,300170005,1,8,ppb,8,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/27/2023,AQS,300170005,1,10,ppb,9,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/28/2023,AQS,300170005,1,18,ppb,17,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/29/2023,AQS,300170005,1,17,ppb,16,Miles City - Pines Hills,18,75.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
11/30/2023,AQS,300170005,1,16,ppb,15,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/01/2023,AQS,300170005,1,20,ppb,19,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/02/2023,AQS,300170005,1,18,ppb,17,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/03/2023,AQS,300170005,1,7,ppb,7,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/04/2023,AQS,300170005,1,18,ppb,17,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/05/2023,AQS,300170005,1,17,ppb,16,Miles City - Pines Hills,19,79.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/06/2023,AQS,300170005,1,12,ppb,11,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/07/2023,AQS,300170005,1,6,ppb,6,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/08/2023,AQS,300170005,1,1,ppb,1,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/09/2023,AQS,300170005,1,8,ppb,8,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/10/2023,AQS,300170005,1,15,ppb,14,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/11/2023,AQS,300170005,1,16,ppb,15,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/12/2023,AQS,300170005,1,20,ppb,19,Miles City - Pines Hills,22,92.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/13/2023,AQS,300170005,1,15,ppb,14,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/14/2023,AQS,300170005,1,18,ppb,17,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/15/2023,AQS,300170005,1,11,ppb,10,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/16/2023,AQS,300170005,1,21,ppb,20,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/17/2023,AQS,300170005,1,14,ppb,13,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/18/2023,AQS,300170005,1,20,ppb,19,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/19/2023,AQS,300170005,1,17,ppb,16,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/20/2023,AQS,300170005,1,18,ppb,17,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/21/2023,AQS,300170005,1,16,ppb,15,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/22/2023,AQS,300170005,1,14,ppb,13,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/23/2023,AQS,300170005,1,9,ppb,8,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/24/2023,AQS,300170005,1,16,ppb,15,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/25/2023,AQS,300170005,1,15,ppb,14,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/26/2023,AQS,300170005,1,19,ppb,18,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/27/2023,AQS,300170005,1,20,ppb,19,Miles City - Pines Hills,22,92.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/28/2023,AQS,300170005,1,23,ppb,22,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/29/2023,AQS,300170005,1,19,ppb,18,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/30/2023,AQS,300170005,1,12,ppb,11,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
12/31/2023,AQS,300170005,1,12,ppb,11,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),599,,,30,Montana,17,Custer,46.411389,-105.812778
